기온(C),풍속(m/s),습도(%),전력소비량(kWh)
18.6,0.9,42.0,1085.28
18.0,1.1,45.0,1047.36
17.7,1.5,45.0,974.88
16.7,1.4,48.0,953.76
18.4,2.8,43.0,986.4
17.2,2.1,46.0,1087.2
16.3,1.0,50.0,1314.72
17.4,1.3,50.0,1684.8
20.6,1.8,44.0,1976.16
23.2,1.7,41.0,2289.12
24.8,2.5,35.0,2683.2
26.3,2.7,31.0,2730.72
27.5,3.4,23.0,2665.92
28.3,4.2,22.0,2628.0
28.4,4.5,19.0,2630.4
28.3,4.4,19.0,2548.32
27.6,5.2,28.0,2490.72
27.1,3.4,30.0,2273.76
26.3,3.0,32.0,1972.32
24.3,2.7,39.0,1871.52
22.2,3.1,44.0,1753.92
20.7,2.6,53.0,1454.4
19.6,2.8,58.0,1175.52
18.9,1.9,65.0,1105.44
18.1,0.4,67.0,1034.4
17.6,0.8,69.0,973.92
17.2,0.7,71.0,909.12
17.2,2.2,75.0,893.28
17.2,2.0,81.0,924.0
17.6,2.7,80.0,1074.24
17.8,2.4,80.0,1390.08
18.4,2.6,77.0,1739.04
19.0,2.4,71.0,2380.8
21.0,2.2,66.0,2664.96
22.5,2.8,61.0,3127.68
24.2,2.4,54.0,3149.76
25.4,2.4,51.0,3264.0
25.9,3.3,49.0,3362.88
26.3,3.6,47.0,3295.68
26.7,3.7,47.0,3260.16
26.4,3.4,52.0,3125.28
25.6,3.5,55.0,2410.56
24.9,3.4,59.0,2351.52
23.3,2.9,65.0,2233.44
21.6,3.1,71.0,2121.12
20.4,2.4,76.0,1778.88
19.7,2.6,79.0,1389.6
19.2,2.7,83.0,1272.48
18.9,2.1,85.0,1184.16
19.0,2.6,86.0,1102.08
19.2,1.0,84.0,1002.72
19.1,1.3,81.0,972.0
19.1,0.6,81.0,1015.2
19.2,0.3,78.0,1152.48
19.1,2.1,79.0,1451.04
19.6,1.7,77.0,1863.84
21.0,2.2,71.0,2524.32
23.1,2.3,63.0,2776.32
24.9,2.2,59.0,3338.4
26.7,1.6,52.0,3449.76
28.3,2.2,46.0,3452.64
29.8,2.3,38.0,3597.12
31.2,1.5,35.0,3521.28
32.3,3.1,35.0,3534.72
30.9,3.5,45.0,3407.04
29.0,3.8,52.0,2711.04
27.9,3.6,55.0,2521.44
25.9,3.2,59.0,2403.84
24.3,2.2,67.0,2273.28
23.9,0.8,67.0,1897.44
23.2,1.8,70.0,1560.48
22.7,0.1,68.0,1351.68
22.3,2.2,76.0,1203.84
21.6,1.7,81.0,1119.36
21.5,0.6,82.0,1026.72
21.4,1.0,81.0,992.64
21.0,0.9,83.0,1022.88
20.9,1.1,74.0,1127.52
20.4,2.5,69.0,1381.44
21.2,2.5,66.0,1815.84
23.2,1.8,58.0,2227.2
24.6,1.9,53.0,2449.44
